screen_name,tweets
Tdf18627407,3
selamhiwot2,1
Maryama15948327,59
EphiBoss,14
SebaEnderta,2
atsede33,14
3uJw1C30pKrnOCW,217
Zapi16680353,116
ABiTewo,2
gere1_gere,23
MM10686209,2
Nahom85835179,347
dw_kebede,24
redaezgi,1
lovemeri499,45
tsige_Nege,7
HelenHailu21,96
maryamtsyon21,65
Letina241,152
SesenTsadik,9
GMesfin19,67
BetrosTesta,1
Zizuka29865004,49
zewideru,10
AbrhaNaod3,1
BruckSemenawit,6
Helen_Daniy,7
kfloma,3
TefseheteMariam,1
AbleTesfay1011,55
girmawit9,5
MayaMay68620872,7
Bvm9VuV2xcFIvp6,1
SolomonWeldege3,1
DanCornelius_,3
michealE90,2
JohnTigraway,8
VoiceHerit,4
yeshiambel,1
SeifGebre,1
TigrayL48872551,1
EyobMasa,17
MereimNegash,7
BinyamAbera8,136
dani17050480,1
mm17155150,496
KidLegesse,9
Yayahago,11
JegnaTigrian,1
SeliSolo22,28
Andesom63240634,2
TeklebrhanMezg1,1
mahlet87314804,81
AngesomDesale,150
MNeamin,3
ShewitG4,11
eslaeza,12
DanielTafere1,18
SamrawitMekonn7,56
solomon23451751,2
GtsadkanHailu,4
TekleBeyene6,19
WediRaya7,13
SamiGedey,18
Wedi_Tigray88,57
BeTeLK101,11
EdgdSgf,1
Gual_TDF,748
GebereMahelet,34
Mumu37269208,39
WediHailu5,2
habtom36183954,1
SenayTigray,15
BrhaneNe,103
tsigab_tadesse,6
MerhaZeslasse,1
AdeayTigray,18
Tom_Truth_Fact,4
AlmazBrhane2,51
Gelila321,2
YordiTigray,26
Meselu1212,112
natam50614189,3
saraZD21,1
RenaissanceCou1,3
Teklay_T,38
fnan1221,3
Gual_Aksumawian,18
tigray_son,9
Nabeyzeru1,114
PeggyMacritchie,8
hrjfudi,3
fila_filimon,48
GgFf54095481,3
solaceazi2021,2
baki_hadush,76
WAEROAKSUMAWIT,8
Abadi05424117,23
AlmazeBerhe,2
Aksumawit7,3
Mengstu32661122,4
eliana__E,10
helen37609486,14
BahtaYikun,4
tesfiish,3
Asqual17,3
KasaShwaye,21
Brooko07,1
BerhaneN2,1
ShopShikor,1
JborgGa,4
asmereequbay1,1
Hibiyee,94
meronw4,20
AlazatTeklu,3
mezgebeg9,53
Awet_18,1
EgleGeek,13
Betel1221,270
BanaHarnet1,2
MeazaTG2,4
AbrahaFeseha,2
hbntitgraweyti,317
hiwotgirmay1,2
KGgualTigray,1
LegeseKahsay3,127
YohanneHa,4
MiKaEl32_B,2
